title,company,location,experience,salary,url,tags,source
Data Science Engineer,Kibbcom,Bengaluru,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-engineer-kibbcom-bengaluru-1-to-3-years-190624502023,"['data science', 'Data', 'Science']",Naukri.com
Data Science Practitioner,Accenture,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-practitioner-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-110624907921,"['azure machine learning', 'microsoft azure', 'machine learning algorithms', 'statistics', 'data munging', 'natural language processing', 'big data technologies', 'power bi']",Naukri.com
Data Sciences Intern V,Target,Bengaluru,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-sciences-intern-v-target-corporation-india-pvt-ltd-bengaluru-3-to-8-years-130624501023,"['advanced analytics', 'Payroll', 'Interpersonal skills', 'SAS', 'Consulting', 'Operations', 'Internship', 'Analytics']",Naukri.com
Data Science Professional,Davinta Financial Services,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-professional-davinta-finserv-bengaluru-2-to-5-years-150224502032,"['matlab', 'algorithms', 'python', 'data analytics', 'sas', 'credit risk', 'lgd', 'business analysis']",Naukri.com
Data Science Professional,Discite Analytics & Ai,Bengaluru,,Unpaid,https://www.naukri.com/job-listings-data-science-professional-discite-analytics-bengaluru-2-to-4-years-030424502336,[],Naukri.com
Senior Data Science Consultant,Wells Fargo,Bengaluru,2-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-senior-data-science-consultant-wells-fargo-india-solutions-pvt-ltd-bengaluru-2-to-8-years-100624501068,"['Computer science', 'Data analysis', 'Usage', 'Web analytics', 'Econometrics', 'Teradata', 'Operations', 'Monitoring']",Naukri.com
Senior Data Science Consultant,Wells Fargo,Bengaluru,2-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-senior-data-science-consultant-wells-fargo-india-solutions-pvt-ltd-bengaluru-2-to-8-years-100624501067,"['Data analysis', 'customer analytics', 'Analytical', 'Econometrics', 'Forecasting', 'Operations', 'Analytics', 'Financial services']",Naukri.com
Analyst Data Science,Navit Software Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-analyst-data-science-navit-software-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-070323501281,"['Business objects', 'SAS', 'Process improvement', 'XML', 'Javascript', 'Data collection', 'Manager Quality Control', 'SPSS']",Naukri.com
Analytics Data science and IOT Engineer,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-analytics-data-science-and-iot-engineer-hexaware-technologies-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-230524501264,"['Automation', 'Data analysis', 'Data modeling', 'Delivery Analyst', 'Database', 'Data quality', 'Analytics', 'SQL']",Naukri.com
Data Science Engineer,Tata Consultancy Services (TCS),"Bangalore Rural, Hyderabad, Chennai",3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-engineer-tata-consultancy-services-tcs-hyderabad-bangalore-rural-chennai-3-to-8-years-030624006950,"['Data Science', 'Artificial Intelligence', 'Machine Learning', 'Python', 'SQL', 'Machine', 'Intelligence', 'Science']",Naukri.com
