,title,company,location,experience,salary,url,tags,source,index
57,Product Analytics Associate (Based in Dubai),Property Finder,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/product-analytics-associate-based-in-dubai-at-property-finder-3808228161?position=49&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=YZ%2F6GVvO7MgKN1boSSQW3Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,58
58,AI Engineer,Skan,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ai-engineer-at-skan-3962938033?position=50&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=%2FPRFumtt3J%2B7D5mRi%2Bbb7Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,59
59,AI/ML Developer (Python),ConsultBae Jobs,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ai-ml-developer-python-at-consultbae-jobs-3958304473?position=51&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=CdYS8xunhyt4%2BXt2C4huKA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,60
60,Product Analyst,apna,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/product-analyst-at-apna-3940578373?position=52&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=NQboy%2F6YI1d5YgZrASUS2g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,61
61,Data Scientist,sugar.fit,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-sugar-fit-3946615664?position=53&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=vPSBgcG%2Bp8y8%2BbvI0uUc4A%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,62
62,Junior Data Scientist,JobDost,"Bagalur, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/junior-data-scientist-at-jobdost-3627615844?position=54&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=CJ1raKta1%2F9PTUYCpJBrXA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,63
63,AI/ML Developer (Python),ConsultBae Jobs,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ai-ml-developer-python-at-consultbae-jobs-3958301710?position=55&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=2yCv7bvJ%2FSkek2mGH%2BZOAA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,64
64,AI Engineer,C5i,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ai-engineer-at-c5i-3954256530?position=56&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=bESStlrY8Oqp7rqi1GUVag%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,65
65,"Operations Manager, Onboarding",PhonePe,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/operations-manager-onboarding-at-phonepe-3957524550?position=57&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=4TM04QdALuZaRE915QfaYA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,66
66,Data Analyst,Tamcherry,"Bangalore Urban, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-tamcherry-3946436784?position=58&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=8uz7uSqbGh4gmpZp4k5Bzg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,67
67,Machine Learning Engineer,Mount Talent Consulting Pvt Ltd.,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-mount-talent-consulting-pvt-ltd-3957885759?position=59&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=QXqf%2Fu%2BMkOcdv4T3yTHj8g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,68
68,Applied Scientist,Oracle,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/applied-scientist-at-oracle-3954259045?position=60&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=cTvVv0ztPMjqEfwrCGBkIQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,69
69,Data Science Analyst,HR Jobs Placements (More Jobs),"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",2 - 7 yrs,,https://www.timesjobs.com/job-detail/data-science-analyst-a-leading-it-firm-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-2-to-7-yrs-jobid-Eco6pdNXv4VzpSvf__PLUS__uAgZw==&source=srp,"Data Science Analyst , Data Science , test model quality , product development , marketing techniques , customer experiences , revenue generation , ad targeting",Timesjobs,70
70,Data Science Analytics,Electrobrain modern technologies pvt ltd (More Jobs),"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",3 - 8 yrs,"₹
Rs 5.15 - 9.55 Lacs p.a.",https://www.timesjobs.com/job-detail/data-science-analytics-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-gurgaon-3-to-8-yrs-jobid-y__SLASH__7oqN1zYNdzpSvf__PLUS__uAgZw==&source=srp,"Data Analysis , deploying models , github , python , continuous integration , hive , agile methodology , azure machine learning , pyspark",Timesjobs,71
71,Associate - Data Science,Analytics Vidhya,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/associate-data-science-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-dRZQPWIZGpJzpSvf__PLUS__uAgZw==&source=srp,"visualization , data analytics , sas , spss , tableau , data science , data scientist , software development methodologies",Timesjobs,72
72,"Business Intelligence Engineer , Ring Data Science and Engineering",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/business-intelligence-engineer-ring-data-science-and-engineering-amazon-india-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-rCoS__PLUS__F63hAhzpSvf__PLUS__uAgZw==&source=srp,"data analysis , statistical modeling , dashboard creation , problem solving , communication skills , visualization , business requirements , bi , dashboards , database , , business analysis , infrastructure",Timesjobs,73
73,USCA - C10 - Data Science at Citi,Citibank India,"Chennai, Mumbai, Bengaluru / Bangalore, Pune",2 - 4 yrs,,https://www.timesjobs.com/job-detail/usca-c10-data-science-at-citi-citibank-india-chennai-mumbai-bengaluru-bangalore-pune-2-to-4-yrs-jobid-tYCOtrHoc65zpSvf__PLUS__uAgZw==&source=srp,"data analytics , machine learning , deep learning , statistical modeling , communication skills , business requirements , information technology , use cases , domain expert , predictive modeling , sql , , visualization , analysis , information management , analyst , statistical analysis",Timesjobs,74
74,OnMobile Openings | Senior Software Engineer Data Science,OnMobile Global Ltd,Bengaluru / Bangalore,3 - 6 yrs,,https://www.timesjobs.com/job-detail/onmobile-openings-senior-software-engineer-data-science-onmobile-global-ltd-bengaluru-bangalore-3-to-6-yrs-jobid-wdcAjPOUZMdzpSvf__PLUS__uAgZw==&source=srp,"python , restful apis , machine learning , html5 , javascript , senior software engineer , git",Timesjobs,75
75,"Data Scientist , AWS Support Strategy Analytics and Data Science , Support Engineering",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,3 - 9 yrs,,https://www.timesjobs.com/job-detail/data-scientist-aws-support-strategy-analytics-and-data-science-support-engineering-amazon-india-pvt-ltd-bengaluru-bangalore-3-to-9-yrs-jobid-vHMvOCFnJY5zpSvf__PLUS__uAgZw==&source=srp,"analytics , predictive modeling , optimization algorithms , data science , machine learning , storage , artificial intelligence , security , cloud computing , python",Timesjobs,76
76,"R & D Associate Engineer - Data Science in Bangalore , Karnataka , India | ABB",ABB,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/r-d-associate-engineer-data-science-in-bangalore-karnataka-india-abb-abb-bengaluru-bangalore-2-to-5-yrs-jobid-7wqABg0sLExzpSvf__PLUS__uAgZw==&source=srp,"data science , machine learning , data analysis , python / r programming , statistical analysis , associate engineer , supervision , abb , documentation , ideas , process automation",Timesjobs,77
77,"Software Engineer III , Search Science Data Infrastructure",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,3 - 8 yrs,,https://www.timesjobs.com/job-detail/software-engineer-iii-search-science-data-infrastructure-amazon-india-pvt-ltd-bengaluru-bangalore-3-to-8-yrs-jobid-MbNtYlR5iZFzpSvf__PLUS__uAgZw==&source=srp,"software development , big data , machine learning , system architecture , operations excellence , production , product development , operational excellence",Timesjobs,78
78,"Sr Data Scientist , AWS Support Strategy Analytics and Data Science , Support Engineering",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,3 - 7 yrs,,https://www.timesjobs.com/job-detail/sr-data-scientist-aws-support-strategy-analytics-and-data-science-support-engineering-amazon-india-pvt-ltd-bengaluru-bangalore-3-to-7-yrs-jobid-2OaZNyCzBAhzpSvf__PLUS__uAgZw==&source=srp,"analytics capabilities , predictive modeling , optimization algorithms , data science , machine learning , storage , artificial intelligence , security , cloud computing , python",Timesjobs,79
79,Data Analyst,Jayant Govind kasar (More Jobs),"Bengaluru / Bangalore, Delhi, Hyderabad/Secunderabad, Mumbai, Pune",2 - 7 yrs,,https://www.timesjobs.com/job-detail/data-analyst-jayant-govind-kasar-bengaluru-bangalore-delhi-hyderabad-secunderabad-mumbai-pune-2-to-7-yrs-jobid-P__SLASH__uwNkF4ABhzpSvf__PLUS__uAgZw==&source=srp,"Data Management , Data Analyst , analyst , senior business analyst",Timesjobs,80
80,Sr Developer - EDM - J47972A,SAMPOORNA CONSULTANTS PVT LTD (More Jobs),"Bengaluru / Bangalore, Chennai",3 - 5 yrs,"₹
Rs 7.00 - 12.00 Lacs p.a.",https://www.timesjobs.com/job-detail/sr-developer-edm-j47972a-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-chennai-3-to-5-yrs-jobid-UsbaSSCUGYdzpSvf__PLUS__uAgZw==&source=srp,data warehouse,Timesjobs,81
81,Freelance Internet Assessor - Gujarati Speakers,TELUS International AI Data Solutions (More Jobs),"Ahmedabad, Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",0 - 3 yrs,,https://www.timesjobs.com/job-detail/freelance-internet-assessor-gujarati-speakers-telus-international-ai-data-solutions-ahmedabad-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-0-to-3-yrs-jobid-SyuQKJ2u06FzpSvf__PLUS__uAgZw==&source=srp,"Gujarati , English , Social Media , Search Engine , Quality Assurance , Quality Testing , Quality Analysis , Analysis",Timesjobs,82
82,"✈️ , Vacancy for Junior Executive at Airports Authority of India",Sandeep K (More Jobs),"Ranchi, Belgaum, Bengaluru / Bangalore, Gulbarga, Mangalore",0 - 3 yrs,"₹
Rs 5.10 - 11.25 Lacs p.a.",https://www.timesjobs.com/job-detail/vacancy-for-junior-executive-at-airports-authority-of-india-airport-authorities-of-india-hiring-ltd-ranchi-belgaum-bengaluru-bangalore-gulbarga-mangalore-0-to-3-yrs-jobid-MDGZLb5b__SLASH__JRzpSvf__PLUS__uAgZw==&source=srp,"Ground staff , computer operator , data entry , project manager , Air ticketing , Cabin crew , HR , Hospitality , Customer Service , Security gard , Housekeeping , Banking , Accountant",Timesjobs,83
83,Airport / Airline for Fresher / experience all. HR Maya 887820#7017,Sandeep K (More Jobs),"Belgaum, Bellary, Bengaluru / Bangalore, Davanagere, Gulbarga",0 - 3 yrs,"₹
Rs 5.10 - 11.25 Lacs p.a.",https://www.timesjobs.com/job-detail/airport-airline-for-fresher-experience-all-hr-maya-887820-7017-indi-airport-authorities-of-india-ltd-belgaum-bellary-bengaluru-bangalore-davanagere-gulbarga-0-to-3-yrs-jobid-w3uK2Awz34tzpSvf__PLUS__uAgZw==&source=srp,"Ground staff , computer operator , data entry , project manager , Air ticketing , Cabin crew , HR , Hospitality , Customer Service , Security gard , Housekeeping , Banking , Accountant",Timesjobs,84
84,"APPLY URGENT AIRPORT JOBS AIRLINES GROUND STAFF , 97185#79262 , HR",Sandeep K (More Jobs),"Bengaluru / Bangalore, Gulbarga, Hubli, Mangalore, Mysoru / Mysore",0 - 3 yrs,"₹
Rs 5.10 - 11.25 Lacs p.a.",https://www.timesjobs.com/job-detail/apply-urgent-airport-jobs-airlines-ground-staff-97185-79262-hr-ai-airport-authorities-of-india-hiring-ltd-bengaluru-bangalore-gulbarga-hubli-mangalore-mysoru-mysore-0-to-3-yrs-jobid-0P0CpVwsz8pzpSvf__PLUS__uAgZw==&source=srp,"Ground staff , computer operator , data entry , project manager , Air ticketing , Cabin crew , HR , Hospitality , Customer Service , Security gard , Housekeeping , Banking , Accountant",Timesjobs,85
85,SQL Developer,Araca Solutions (More Jobs),Bengaluru / Bangalore,3 - 4 yrs,,https://www.timesjobs.com/job-detail/sql-developer-arting-digital-private-limited-bengaluru-bangalore-3-to-4-yrs-jobid-IavI9vLoZ4lzpSvf__PLUS__uAgZw==&source=srp,Sql developer only,Timesjobs,86
86,NestJs Developer,Araca Solutions (More Jobs),Bengaluru / Bangalore,2 - 4 yrs,,https://www.timesjobs.com/job-detail/nestjs-developer-arting-digital-private-limited-bengaluru-bangalore-2-to-4-yrs-jobid-rRpWF8f9__PLUS__p1zpSvf__PLUS__uAgZw==&source=srp,NestJs,Timesjobs,87
87,Associate Product Manager,Prashant Pandey (More Jobs),"Bengaluru / Bangalore, Delhi/NCR, Kolkata, Mumbai, Pune",1 - 6 yrs,,https://www.timesjobs.com/job-detail/associate-product-manager-prashant-pandey-bengaluru-bangalore-delhi-ncr-kolkata-mumbai-pune-1-to-6-yrs-jobid-0EEY2urkRUJzpSvf__PLUS__uAgZw==&source=srp,"Product Information , Product Marketing , Product Management , Market Research , Brand Management , Brand Marketing , Business Development",Timesjobs,88
88,Frontend Developer ( All levels ),OUTSCAL TECHNOLOGIES PRIVATE LIMITED (More Jobs),"Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 yrs,"₹
Rs 10.00 - 40.00 Lacs p.a.",https://www.timesjobs.com/job-detail/frontend-developer-all-levels-outscal-technologies-private-limited-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-0-to-3-yrs-jobid-xqVh9H__SLASH__bRUVzpSvf__PLUS__uAgZw==&source=srp,"html , css , javascript , react , Angular , Node.js , Vue.js , git , c ++",Timesjobs,89
89,Software Developer,NEXPRO247 (More Jobs),"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",1 - 6 yrs,,https://www.timesjobs.com/job-detail/software-developer-nexpro247-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-1-to-6-yrs-jobid-z__PLUS__CZSNRZZghzpSvf__PLUS__uAgZw==&source=srp,"python , SQL , java , php , web development , Debugging Skills , CSS , Python Framework , freshers , Java Programming , HTML , Troubleshooting Skills , JavaScript , react.js , core java",Timesjobs,90
90,Data Scientist,Analytics Vidhya,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-dxftvKgZL85zpSvf__PLUS__uAgZw==&source=srp,"sas , data science , use cases , predictive modeling , data scientist",Timesjobs,91
91,"Administartion , Administrative Assist",Electrobrain modern technologies pvt ltd (More Jobs),"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",2 - 6 yrs,"₹
Rs 6.35 - 12.00 Lacs p.a.",https://www.timesjobs.com/job-detail/administartion-administrative-assist-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-gurgaon-2-to-6-yrs-jobid-j7ZgWSePldpzpSvf__PLUS__uAgZw==&source=srp,"Neural networks , data science , Web technologies , microservices , Data Base Administration , python , ANN",Timesjobs,92
92,Data Scientist,Analytics Vidhya,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-hCT8pqlF5R9zpSvf__PLUS__uAgZw==&source=srp,"linear regression , data science , data scientist , statistical modeling , logistic regression , arima , advanced analytics , artificial neural networks",Timesjobs,93
93,Machine Learning Engineer,Cotocus,Bengaluru / Bangalore,0 - 3 yrs,,https://www.timesjobs.com/job-detail/machine-learning-engineer-cotocus-bengaluru-bangalore-0-to-3-yrs-jobid-UuakCaarcmNzpSvf__PLUS__uAgZw==&source=srp,"machine learning , docker , data science",Timesjobs,94
94,Data Science Analytics Analyst,Accenture,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-analytics-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-210624913333,"['ms access', 'power bi', 'sql', 'r', 'advanced excel', 'python', 'data analytics', 'sql queries']",Naukri.com,95
95,Python Developer - Data Science - Tiger analytics,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-python-developer-data-science-tiger-analytics-tiger-analytics-hyderabad-chennai-bengaluru-2-to-7-years-101123006845,"['Machine Learning', 'Numpy', 'Data Science', 'Pandas', 'Python', 'Data Validation', 'Azure', 'Tabular data']",Naukri.com,96
96,S&C Global Network - AI - Hi Tech - Data Science Sr. Analyst,Accenture,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-hi-tech-data-science-sr-analyst-accenture-solutions-pvt-ltd-bengaluru-2-to-5-years-190624910860,"['erp', 'python', 'natural language processing', 'plm', 'crm', 'plaster', 'flooring', 'microsoft azure']",Naukri.com,97
97,Python Developer (Data Science),Wipro,"Pune, Chennai, Bengaluru",3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-python-developer-data-science-wipro-limited-pune-chennai-bengaluru-3-to-6-years-260624908169,"['Pandas', 'Numpy', 'Python', 'Python Development', 'Data', 'Development', 'Science', 'Data Science']",Naukri.com,98
98,"Manager, Data Science 2",Xoom,"Chennai, Bengaluru",3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-manager-data-science-2-xoom-inc-chennai-bengaluru-3-to-5-years-260624501341,"['Data analysis', 'Analytical', 'Finance', 'Hypothesis Testing', 'Instrumentation', 'Commerce', 'Analytics', 'Monitoring']",Naukri.com,99
99,Data Science Practitioner,Accenture,Bengaluru,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-practitioner-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-200624913234,"['azure machine learning', 'microsoft azure', 'machine learning algorithms', 'statistics', 'data munging', 'natural language processing', 'big data technologies', 'power bi']",Naukri.com,100
100,Data Science Engineer,Kibbcom,Bengaluru,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-engineer-kibbcom-bengaluru-1-to-3-years-190624502023,"['data science', 'Data', 'Science']",Naukri.com,101
101,Data Science Professional,Davinta Financial Services,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-professional-davinta-finserv-bengaluru-2-to-5-years-150224502032,"['matlab', 'algorithms', 'python', 'data analytics', 'sas', 'credit risk', 'lgd', 'business analysis']",Naukri.com,102
102,Data Science Professional,Discite Analytics & Ai,Bengaluru,,Unpaid,https://www.naukri.com/job-listings-data-science-professional-discite-analytics-bengaluru-2-to-4-years-030424502336,[],Naukri.com,103
103,S&C Global Network - AI - Resources - Data Science Analyst,Accenture,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-resources-data-science-analyst-accenture-solutions-pvt-ltd-bengaluru-2-to-5-years-120624912013,"['sql', 'gen', 'statistical modeling', 'vector', 'machine learning algorithms', 'advanced analytics', 'python', 'data analysis']",Naukri.com,104
104,S&C Global Network - AI - Life Sciences -Data Science Analyst,Accenture,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-life-sciences-data-science-analyst-accenture-solutions-pvt-ltd-bengaluru-2-to-5-years-140624910402,"['microsoft azure', 'sql', 'qlikview', 'spark', 'aws', 'python', 'data management', 'hypothesis testing']",Naukri.com,105
105,Senior Data Science Consultant,Wells Fargo,Bengaluru,2-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-senior-data-science-consultant-wells-fargo-india-solutions-pvt-ltd-bengaluru-2-to-8-years-100624501067,"['Data analysis', 'customer analytics', 'Analytical', 'Econometrics', 'Forecasting', 'Operations', 'Analytics', 'Financial services']",Naukri.com,106
106,Analyst Data Science,Navit Software Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-analyst-data-science-navit-software-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-070323501281,"['Business objects', 'SAS', 'Process improvement', 'XML', 'Javascript', 'Data collection', 'Manager Quality Control', 'SPSS']",Naukri.com,107
107,Analytics Data science and IOT Engineer,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-analytics-data-science-and-iot-engineer-hexaware-technologies-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-230524501264,"['Automation', 'Data analysis', 'Data modeling', 'Delivery Analyst', 'Database', 'Data quality', 'Analytics', 'SQL']",Naukri.com,108
108,Data Science Engineer,Tata Consultancy Services,"Bangalore Rural, Hyderabad, Chennai",3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-engineer-tata-consultancy-services-tcs-hyderabad-bangalore-rural-chennai-3-to-8-years-030624006950,"['Data Science', 'Artificial Intelligence', 'Machine Learning', 'Python', 'SQL', 'Intelligence', 'Science', 'Machine']",Naukri.com,109
