,title,company,location,experience,salary,url,tags,source,index
0,Software Engineer ( Backend ),Elevate Ecosystem Private Limited,Bangalore,1-3 years,"₹ 8,00,000 - 15,00,000",https://internshala.com//job/detail/software-engineer--backend--job-in-bangalore-at-elevate-ecosystem-private-limited1718700189,,Internshala,1
1,Senior Research Analyst,Ethnographic Medical Research Private Limited,Bangalore,1-3 years,"₹ 5,00,000 - 10,00,000",https://internshala.com//job/details/senior-research-analyst-job-in-bangalore-at-ethnographic-medical-research-private-limited1718965222,,Internshala,2
2,Junior Software Developer,Time Line Investments,Bangalore,1-4 years,"₹ 3,20,000 - 3,50,000",https://internshala.com//job/details/junior-software-developer-job-in-bangalore-at-time-line-investments1719809355,,Internshala,3
3,MEAN Stack Developer,Vizlogic Digital Solutions Private Limited,Bangalore,1-3 years,"₹ 3,00,000 - 8,00,000",https://internshala.com//job/detail/mean-stack-developer-job-in-bangalore-at-vizlogic-digital-solutions-private-limited1715128665,,Internshala,4
4,Business Analyst,HAVILAH HANSEL TECH VENTURES PRIVATE LIMITED,Bangalore,1-4 years,"₹ 2,25,000 - 4,00,000",https://internshala.com//job/details/business-analyst-job-in-bangalore-at-havilah-hansel-tech-ventures-private-limited1719291528,,Internshala,5
5,Assistant Manager,Flipkart,Bangalore,1-3 years,Competitive salary,https://internshala.com//job/detail/assistant-manager-job-in-bangalore-at-flipkart1719652965,,Internshala,6
6,Technical Support Engineer,ABS INTERNATIONAL,Bangalore,1-3 years,Competitive salary,https://internshala.com//job/detail/technical-support-engineer-job-in-bangalore-at-abs-international1719534728,,Internshala,7
7,Merchant Risk Investigator,PhonePe Private Limited,Bangalore,2-3 years,Competitive salary,https://internshala.com//job/detail/merchant-risk-investigator-job-in-bangalore-at-phonepe-private-limited1719477728,,Internshala,8
8,Data Analyst,Simplilearn Solutions Private Limited,Bangalore,1-3 years,Competitive salary,https://internshala.com//job/detail/data-analyst-job-in-bangalore-at-simplilearn-solutions-private-limited1718778578,,Internshala,9
9,Data Analyst 1,Epsilon India,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-1-at-epsilon-india-3942713396?position=1&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=E3QzWibD9eKHODmsAOciXA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,10
10,Data Scientist,EXL,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-exl-3960644169?position=2&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=6AiK0rAVZu6Dsq59yg3z9A%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,11
11,Data Scientist,Masai,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-masai-3955339213?position=3&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=FzLFt6%2BbkMpPDswpGHvUEQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,12
12,Junior Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/junior-data-scientist-at-ab-inbev-gcc-india-3940345408?position=4&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=GO54EUFvZ1M3Pa6PoevtDQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,13
13,Data Scientist 2,Epsilon India,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-2-at-epsilon-india-3966214103?position=5&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=SVhWQIcJSFFmhmM9dPvbHQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,14
14,Data Scientist,Continental,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-continental-3962396424?position=6&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=%2F4r%2FxVUBwjay9AXdnbH0nA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,15
15,AI/ML Engineer,IQVIA,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-iqvia-3930676285?position=7&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=8kZtb9V%2FMtaZVKRPW7g34A%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,16
16,Data Analyst,Target,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-target-3939456141?position=8&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=dkgu8GCQtmoLGZIttv3ycw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,17
